LGA Name,Male,Female,Median Age,0-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Married,Bachelor Degree level and above,Advanced Diploma and Diploma level,Australia,"No Religion, so described",Catholic,English only spoken at home,Worked full-time,Worked part-time,Professionals,Clerical and Administrative Workers,Technicians and Trades Workers,PersonalMedianIncomeWeekly,FamilyMedianIncomeWeekly,People who travelled to work by public transport,People who travelled to work by car as driver or passenger,Couple family without children,Couple family with children
MacDonnell (R),52.1,47.9,29,20.5,21.6,18.7,14.2,11.7,8.6,3.3,1.2,0.3,46.2,4.9,1.9,90.5,8.8,15.7,14.3,45.4,23.7,20.5,8,6.5,271,642,2.2,33.6,26.8,39.3
Tiwi Islands (R),50,50,30,25,15.6,17.1,15.6,13.2,9.1,3.1,1,0.2,25.7,5,1,95.2,5.7,85.3,11,38.3,30.3,24,8.4,8.4,248,644,0.8,28.1,25.3,42.6
Unincorp. Other Territories,53.8,46.2,42,17.9,8.9,12.6,14,15.6,15.5,10.2,4.2,1.1,51.4,12.1,7.3,47.3,20.9,9.2,37.5,63.6,25.6,11,11.6,17.7,715,1568,6.8,66.4,43,41.7
Townsville (C),50,50,34,20.2,15.5,14.9,13.3,13.2,11,7.4,3.4,1.2,42.9,15.7,7.8,78.6,28.4,26.5,85.2,58.7,27.3,18.8,13.5,15.1,703,1705,1.8,78.1,38.5,41.8
Barcaldine (R),50.5,49.5,42,20.4,9.7,11.8,11.3,15,13.2,10.8,6.1,1.8,52.2,11.2,5.2,85.8,17.5,28.6,90.4,70.9,21.2,11.2,10.3,9.4,684,1514,0.2,51.3,46.5,40.6
Tablelands (R),49.2,50.8,47,18.1,9.8,8.3,10.1,13.8,16.1,14.1,7.1,2.5,48.5,11.7,7.7,77.4,29.4,21.9,87.4,52.2,34,15.4,11.2,13.7,517,1218,1.2,69.1,48.7,33.2
Aurukun (S),49.9,50.1,28,28.8,15.6,15.9,13.6,13.9,7.9,3.5,0.6,0,15.5,3.2,2.9,95.8,29.3,NA,10.6,41,17,15.8,7.9,16.2,260,678,NA,24.4,14.2,39.6
Torres Strait Island (R),50.8,49.2,24,34.7,16.8,15.6,11,9.3,7.9,3.6,1.2,0.1,22.9,3.6,4.5,94,NA,8.5,5.4,46.6,31.6,21.3,13.2,11.6,373,856,0.7,33.9,12.9,46.8
Torres (S),49.5,50.5,28,27.1,16,17.1,13.5,11.1,9.7,3.7,1.3,0.4,28.2,12.4,6.8,80.2,14.4,15.3,37.2,61.9,20.6,21.6,15.6,12.3,740,1919,4.6,50.8,22.2,47.5
Balonne (S),51.4,48.6,40,21.6,10.8,11.8,12.4,14.6,13.4,9.4,4.6,1.5,51.7,11,7.9,85.2,13.9,29,89.4,62.1,28.3,12.1,10.2,10.3,662,1485,0.1,63.1,43.3,41.2
Northern Peninsula Area (R),48.7,51.3,22,36.8,17.4,14.5,10.9,9.9,6.9,2.9,0.6,0.2,22.3,6.9,7.2,94.8,10.3,NA,14.3,54.5,20,13.9,12.6,11.9,468,1064,3.1,60.2,14.9,47.1
Banana (S),51.6,48.4,37,22.1,10.8,13.5,13.5,13.8,12.2,7.8,4.6,1.5,55.3,9.6,5.3,83,15.7,23.5,87.2,66,23.8,9.9,9.6,16,714,1895,1.5,63.8,42.3,45.9
Barcoo (S),54.8,45.2,46,17.4,13,8.9,7.8,20.8,14.9,12.2,3.7,1.1,47.1,5.1,6,92,13.1,35.1,92.9,81.4,12.2,6,13.2,13.8,774,1687,NA,35.5,51.7,37.9
Central Highlands (R) (Qld),52.7,47.3,33,24.7,11.7,16.5,14.8,14.2,10.5,5.1,2,0.5,52,10.4,5.9,75.9,20.9,25.4,83.2,64.8,23.7,11,10.6,17.6,843,2106,4.9,66.5,36.6,51.2
Logan (C),49.4,50.6,34,22.5,14,14,13.6,12.8,10.9,7.7,3.2,1.1,46.1,11.3,8.3,65.8,28.9,18.5,77.8,58.8,27.5,13.2,15,16.3,635,1546,5.9,77.7,32.4,46.1
Scenic Rim (R),49.3,50.7,44,18.9,10.5,8.8,12.2,14.9,14.4,12.3,5.9,2,52.3,12.3,8.6,76.9,26.8,18.4,89,55.7,32.7,14.3,12.2,16.1,569,1417,1.3,70.9,44.7,39.4
Isaac (R),54.5,45.5,32,25.3,11,19.2,16.6,13.3,9.3,3.9,1.2,0.3,50.1,10.3,5.1,74.6,22.3,25.9,81.3,68.4,20.2,10.7,8.7,20.7,1030,2365,4.7,65.9,35.2,53.5
Maranoa (R),51.4,48.6,36,21.8,11.3,14.7,12.7,13.3,11.8,8.2,4.7,1.8,50.5,11.2,7.8,82.2,16.9,25.6,86.6,68.2,22.7,12.5,12,13.3,741,1688,0.6,65.5,42.2,44.7
North Burnett (R),51.1,48.9,46,17.7,9.3,10,10.4,14,14.6,13.8,7.4,2.8,52.4,7.3,5.5,78.1,20.9,15.4,84.1,60.2,28.3,8.5,8.9,9.3,501,1159,2.6,60.3,50.6,35.4
Blackall-Tambo (R),49.6,50.4,47,17.3,7.8,10.5,11.6,13.6,17,13.4,6.7,2.2,54.9,7.9,7.2,89,12.3,31.2,93.7,64.6,23.9,9,8.4,10.7,548,1266,NA,51.1,52.6,36.1
Boulia (S),53.1,46.9,34,17,14.2,19.6,13.2,13.4,15.8,4.8,2.2,0,34.2,5.4,3.1,78.4,17.9,29.1,82.9,73.3,13.3,6.2,8.5,7.6,753,1553,NA,32.9,47.6,25
Whitsunday (R),51.8,48.2,38,18.1,11.2,15.5,13.3,13.6,13.6,9.5,3.8,1.3,43.9,9.3,7.6,70.7,28.2,20.6,81,61.5,26.2,11.2,9.9,16.9,685,1481,4.3,65.1,45.5,38.7
Brisbane (C),49.2,50.8,35,17.6,14.9,17.3,14.7,13,10,6.9,3.8,1.8,45.3,32.6,9.3,63.6,31.6,23.1,71.8,59.3,29.6,29.9,14.6,10.5,770,2091,15.9,63.1,37.8,45.6
